camera,serial,frame_index,unix_time_ns,image_file,meta_frame_count,meta_frames_dropped,meta_capture_time_ns,meta_camera_time_ns,meta_is_damaged
right,44814140,27,1772205327272815236,right_000027_1772205327272815236.png,27,8,1772205327035615000,5264788977569,False
left,44814142,28,1772205327353190061,left_000028_1772205327353190061.png,28,6,1772205327035615000,5264788976093,False
right,44814140,28,1772205327355782214,right_000028_1772205327355782214.png,28,8,1772205327087645000,5264839345777,False
left,44814142,29,1772205327436833259,left_000029_1772205327436833259.png,29,7,1772205327186199000,5264939493289,False
right,44814140,29,1772205327439551027,right_000029_1772205327439551027.png,29,8,1772205327135718000,5264889071793,False
left,44814142,30,1772205327518856659,left_000030_1772205327518856659.png,30,7,1772205327237704000,5264989302720,False
right,44814140,30,1772205327522368603,right_000030_1772205327522368603.png,30,8,1772205327188251000,5264939495825,False
left,44814142,31,1772205327600019361,left_000031_1772205327600019361.png,31,7,1772205327285992000,5265039363416,False
right,44814140,31,1772205327603358459,right_000031_1772205327603358459.png,31,10,1772205327387587000,5265139488881,False
left,44814142,32,1772205327682174249,left_000032_1772205327682174249.png,32,8,1772205327436598000,5265189964353,False
right,44814140,32,1772205327685572122,right_000032_1772205327685572122.png,32,10,1772205327440062000,5265189940785,False
left,44814142,33,1772205327762816569,left_000033_1772205327762816569.png,33,8,1772205327486314000,5265239690040,False
right,44814140,33,1772205327766385923,right_000033_1772205327766385923.png,33,10,1772205327486311000,5265239694705,False
left,44814142,34,1772205327840033220,left_000034_1772205327840033220.png,34,8,1772205327536283000,5265289750752,False
right,44814140,34,1772205327842996740,right_000034_1772205327842996740.png,34,10,1772205327536262000,5265289755761,False
left,44814142,35,1772205327923085811,left_000035_1772205327923085811.png,35,9,1772205327686670000,5265440044601,False
right,44814140,35,1772205327924910476,right_000035_1772205327924910476.png,35,11,1772205327686660000,5265440050625,False
left,44814142,36,1772205328007332663,left_000036_1772205328007332663.png,36,9,1772205327738218000,5265490049489,False
right,44814140,36,1772205328008105252,right_000036_1772205328008105252.png,36,11,1772205327738095000,5265490055825,False
left,44814142,37,1772205328093201145,left_000037_1772205328093201145.png,37,9,1772205327786660000,5265540082280,False
right,44814140,37,1772205328094884471,right_000037_1772205328094884471.png,37,11,1772205327786658000,5265540061009,False
left,44814142,38,1772205328176561093,left_000038_1772205328176561093.png,38,9,1772205327840262000,5265590589730,False
right,44814140,38,1772205328178598344,right_000038_1772205328178598344.png,38,11,1772205327843234000,5265590596673,False
left,44814142,39,1772205328259952334,left_000039_1772205328259952334.png,39,11,1772205328037182000,5265790581361,False
right,44814140,39,1772205328262042938,right_000039_1772205328262042938.png,39,13,1772205328037182000,5265790561505,False
left,44814142,40,1772205328341727069,left_000040_1772205328341727069.png,40,11,1772205328093551000,5265841172570,False
right,44814140,40,1772205328344039257,right_000040_1772205328344039257.png,40,13,1772205328095257000,5265841180897,False
left,44814142,41,1772205328415257615,left_000041_1772205328415257615.png,41,11,1772205328137256000,5265890758648,False
right,44814140,41,1772205328420196412,right_000041_1772205328420196412.png,41,13,1772205328137291000,5265890739345,False
left,44814142,42,1772205328499101640,left_000042_1772205328499101640.png,42,11,1772205328187474000,5265940931073,False
right,44814140,42,1772205328501827435,right_000042_1772205328501827435.png,42,13,1772205328187462000,5265940912033,False
left,44814142,43,1772205328582648120,left_000043_1772205328582648120.png,43,12,1772205328342730000,5266091029512,False
right,44814140,43,1772205328586027956,right_000043_1772205328586027956.png,43,14,1772205328345206000,5266091039233,False
left,44814142,44,1772205328668925425,left_000044_1772205328668925425.png,44,12,1772205328387686000,5266141118160,False
right,44814140,44,1772205328671161687,right_000044_1772205328671161687.png,44,14,1772205328387686000,5266141100257,False
